"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","testGetPercent","Surefire suite","Sat Oct 04 18:53:00 UTC 2025","unknown","Sat Oct 04 18:53:00 UTC 2025","playground.tests.ShadowDomTest","Surefire test","playground.tests.ShadowDomTest","testGetPercent"
"","162","testPopUpTitlePage","Surefire suite","Sat Oct 04 18:53:33 UTC 2025","passed","Sat Oct 04 18:53:33 UTC 2025","playground.tests.PopUpWindowTest","Surefire test","playground.tests.PopUpWindowTest","testPopUpTitlePage"
"","0","testEnterTheCode","Surefire suite","Sat Oct 04 18:53:00 UTC 2025","unknown","Sat Oct 04 18:53:00 UTC 2025","playground.tests.VerifyAccountTest","Surefire test","playground.tests.VerifyAccountTest","testEnterTheCode"
"","557","testDeleteRecord","Surefire suite","Sat Oct 04 18:53:16 UTC 2025","passed","Sat Oct 04 18:53:16 UTC 2025","playground.tests.BudgetTrackerTest","Surefire test","playground.tests.BudgetTrackerTest","testDeleteRecord"
"","253","testGetTitleOnBoardingPage","Surefire suite","Sat Oct 04 18:53:18 UTC 2025","passed","Sat Oct 04 18:53:18 UTC 2025","playground.tests.OnBoardingModalTest","Surefire test","playground.tests.OnBoardingModalTest","testGetTitleOnBoardingPage"
"","0","testShownInfoSuccess","Surefire suite","Sat Oct 04 18:53:00 UTC 2025","unknown","Sat Oct 04 18:53:00 UTC 2025","playground.tests.VerifyAccountTest","Surefire test","playground.tests.VerifyAccountTest","testShownInfoSuccess"
"","0","testClickDropDownChooseOtherItem","Surefire suite","Sat Oct 04 18:53:00 UTC 2025","unknown","Sat Oct 04 18:53:00 UTC 2025","playground.tests.MultiLevelDropDownTest","Surefire test","playground.tests.MultiLevelDropDownTest","testClickDropDownChooseOtherItem"
"","390","testAssertMouseHoverPrice","Surefire suite","Sat Oct 04 18:53:22 UTC 2025","passed","Sat Oct 04 18:53:23 UTC 2025","playground.tests.MouseHoverTest","Surefire test","playground.tests.MouseHoverTest","testAssertMouseHoverPrice"
"","488","testPopUpText","Surefire suite","Sat Oct 04 18:53:32 UTC 2025","passed","Sat Oct 04 18:53:33 UTC 2025","playground.tests.PopUpWindowTest","Surefire test","playground.tests.PopUpWindowTest","testPopUpText"
"","0","testDynamic","Surefire suite","Sat Oct 04 18:53:00 UTC 2025","unknown","Sat Oct 04 18:53:00 UTC 2025","playground.tests.DynamicSelenideTest","Surefire test","playground.tests.DynamicSelenideTest","testDynamic"
"","262","testAddTag","Surefire suite","Sat Oct 04 18:53:29 UTC 2025","passed","Sat Oct 04 18:53:29 UTC 2025","playground.tests.TagsInputBoxTest","Surefire test","playground.tests.TagsInputBoxTest","testAddTag"
"","463","testSortList","Surefire suite","Sat Oct 04 18:53:21 UTC 2025","passed","Sat Oct 04 18:53:21 UTC 2025","playground.tests.SortedListTest","Surefire test","playground.tests.SortedListTest","testSortList"
"","0","testGetTitle","Surefire suite","Sat Oct 04 18:53:00 UTC 2025","unknown","Sat Oct 04 18:53:00 UTC 2025","playground.tests.VerifyAccountTest","Surefire test","playground.tests.VerifyAccountTest","testGetTitle"
"","543","testGetContextMenuItem","Surefire suite","Sat Oct 04 18:53:39 UTC 2025","passed","Sat Oct 04 18:53:40 UTC 2025","playground.tests.RightClickMenuTest","Surefire test","playground.tests.RightClickMenuTest","testGetContextMenuItem"
"","159","testAssertTitle","Surefire suite","Sat Oct 04 18:53:23 UTC 2025","passed","Sat Oct 04 18:53:24 UTC 2025","playground.tests.MouseHoverTest","Surefire test","playground.tests.MouseHoverTest","testAssertTitle"
"","1","testClickDropDownChooseItem","Surefire suite","Sat Oct 04 18:53:00 UTC 2025","unknown","Sat Oct 04 18:53:00 UTC 2025","playground.tests.MultiLevelDropDownTest","Surefire test","playground.tests.MultiLevelDropDownTest","testClickDropDownChooseItem"
"","276","testAddTag","Surefire suite","Sat Oct 04 18:53:27 UTC 2025","passed","Sat Oct 04 18:53:28 UTC 2025","playground.tests.TagsInputBoxTest","Surefire test","playground.tests.TagsInputBoxTest","testAddTag"
"","560","testClickMenuItem","Surefire suite","Sat Oct 04 18:53:34 UTC 2025","passed","Sat Oct 04 18:53:35 UTC 2025","playground.tests.RightClickMenuTest","Surefire test","playground.tests.RightClickMenuTest","testClickMenuItem"
"","400","testClickRatingStarsNumber","Surefire suite","Sat Oct 04 18:53:12 UTC 2025","passed","Sat Oct 04 18:53:12 UTC 2025","playground.tests.RatingTest","Surefire test","playground.tests.RatingTest","testClickRatingStarsNumber"
"","503","testClickMenuItem","Surefire suite","Sat Oct 04 18:53:36 UTC 2025","passed","Sat Oct 04 18:53:37 UTC 2025","playground.tests.RightClickMenuTest","Surefire test","playground.tests.RightClickMenuTest","testClickMenuItem"
"","483","testCloseBurgerMenu","Surefire suite","Sat Oct 04 18:53:17 UTC 2025","passed","Sat Oct 04 18:53:17 UTC 2025","playground.tests.OnBoardingModalTest","Surefire test","playground.tests.OnBoardingModalTest","testCloseBurgerMenu"
"","344","testRemainingTags","Surefire suite","Sat Oct 04 18:53:31 UTC 2025","passed","Sat Oct 04 18:53:31 UTC 2025","playground.tests.TagsInputBoxTest","Surefire test","playground.tests.TagsInputBoxTest","testRemainingTags"
"","0","testContainsItemAs","Surefire suite","Sat Oct 04 18:53:00 UTC 2025","unknown","Sat Oct 04 18:53:00 UTC 2025","playground.tests.MultiLevelDropDownTest","Surefire test","playground.tests.MultiLevelDropDownTest","testContainsItemAs"
"","1074","testAddRecord","Surefire suite","Sat Oct 04 18:53:14 UTC 2025","passed","Sat Oct 04 18:53:15 UTC 2025","playground.tests.BudgetTrackerTest","Surefire test","playground.tests.BudgetTrackerTest","testAddRecord"
"","735","testScrollAndClickButton","Surefire suite","Sat Oct 04 18:53:24 UTC 2025","passed","Sat Oct 04 18:53:25 UTC 2025","playground.tests.CoveredElementsTest","Surefire test","playground.tests.CoveredElementsTest","testScrollAndClickButton"
"","312","testInnerSubTitleIsSown","Surefire suite","Sat Oct 04 18:53:19 UTC 2025","passed","Sat Oct 04 18:53:19 UTC 2025","playground.tests.OnBoardingModalTest","Surefire test","playground.tests.OnBoardingModalTest","testInnerSubTitleIsSown"
"","270","testAddTag","Surefire suite","Sat Oct 04 18:53:28 UTC 2025","passed","Sat Oct 04 18:53:28 UTC 2025","playground.tests.TagsInputBoxTest","Surefire test","playground.tests.TagsInputBoxTest","testAddTag"
"","490","testClickMenuItem","Surefire suite","Sat Oct 04 18:53:37 UTC 2025","passed","Sat Oct 04 18:53:38 UTC 2025","playground.tests.RightClickMenuTest","Surefire test","playground.tests.RightClickMenuTest","testClickMenuItem"
"","600","testClickAllStars","Surefire suite","Sat Oct 04 18:53:11 UTC 2025","passed","Sat Oct 04 18:53:11 UTC 2025","playground.tests.RatingTest","Surefire test","playground.tests.RatingTest","testClickAllStars"
"","279","testGetPageTitle","Surefire suite","Sat Oct 04 18:53:30 UTC 2025","passed","Sat Oct 04 18:53:30 UTC 2025","playground.tests.TagsInputBoxTest","Surefire test","playground.tests.TagsInputBoxTest","testGetPageTitle"
