"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","QA Playground Mini Web Apps","1","RightClickMenu","0","0","Verify : assert title","0"
"0","QA Playground Mini Web Apps","0","DynamicTes","1","0","Verify : item name","0"
"0","QA Playground Mini Web Apps","0","Rating","1","0","Verify : rating number","0"
"0","QA Playground Mini Web Apps","0","OnBoardingModal","2","0","Verify : assert title of subTitle ","0"
"1","QA Playground Mini Web Apps","0","MultiLevelDropDown","0","0","Verify : assert items name","0"
"0","QA Playground Mini Web Apps","0","DynamicTes","1","0","Verify : TitleDynamicAppPage","0"
"0","QA Playground Mini Web Apps","0","RightClickMenu","5","0","Verify : name and num","0"
"0","QA Playground Mini Web Apps","0","TagsInputBox","5","0","Verify : assert add tag {dataNames}","0"
"0","QA Playground Mini Web Apps","0","MultiLevelDropDown","1","0","Verify : sort list","0"
"1","QA Playground Mini Web Apps","0","MultiLevelDropDown","0","0","Verify : DropDownChooseItem","0"
"0","QA Playground Mini Web Apps","0","PopUpWindow","1","0","Verify : pop up text ","0"
"0","QA Playground Mini Web Apps","0","BudgetTracker","1","0","Verify : Delete record","0"
"0","QA Playground Mini Web Apps","0","TagsInputBox","1","0","Verify : assert remaining tags","0"
"1","QA Playground Mini Web Apps","0","MultiLevelDropDown","1","0","Verify : assert title","0"
"0","QA Playground Mini Web Apps","0","TagsInputBox","1","0","Verify : assert title","0"
"0","QA Playground Mini Web Apps","0","VerifyAccount","1","0","Verify : assert title","0"
"0","QA Playground Mini Web Apps","0","VerifyAccount","1","0","Verify : assert info success","0"
"0","QA Playground Mini Web Apps","0","OnBoardingModal","1","0","Verify : assert title","0"
"0","QA Playground Mini Web Apps","0","MultiLevelDropDown","1","0","Verify : DropDownChooseAnotherItem","0"
"0","QA Playground Mini Web Apps","0","Rating","1","0","Verify : click all stars","0"
"0","QA Playground Mini Web Apps","0","Rating","1","0","Verify : click rating stars number","0"
"0","QA Playground Mini Web Apps","0","MultiLevelDropDown","1","0","Verify : assert item title","0"
"0","QA Playground Mini Web Apps","0","CoveredElements","1","0","Verify action: scroll and click button","0"
"0","QA Playground Mini Web Apps","0","BudgetTracker","1","0","Verify : Add record","0"
"0","QA Playground Mini Web Apps","0","MouseHover","1","0","Verify : assert mouse hover price","0"
"0","QA Playground Mini Web Apps","0","MouseHover","1","0","Verify : assert title","0"
"0","QA Playground Mini Web Apps","0","PopUpWindow","1","0","Verify : assert title of subTitle ","0"
